,KBY,KNS,RPR,Z10
0,16.93,15.09,11.24,12.29
1,13.10,11.88,8.99,10.04
2,10.70,10.62,8.03,9.28
3,9.54,9.72,7.56,8.97
4,14.01,13.96,11.00,13.23
5,20.61,19.59,15.65,18.12
6,23.69,23.25,18.71,21.46
7,29.47,28.53,22.95,26.64
8,34.59,33.14,27.85,32.36
9,37.20,32.97,29.12,33.51
10,42.63,37.41,30.48,38.06
11,38.79,37.43,31.06,34.43
12,41.17,37.88,32.73,34.37
13,41.23,38.65,32.89,37.23
14,40.46,36.35,32.03,35.46
15,41.91,37.33,31.92,38.55
16,40.12,34.32,29.68,34.20
17,35.76,32.60,28.48,33.30
18,31.67,26.33,23.63,26.46
19,24.14,20.73,19.59,20.66
20,23.62,21.71,20.05,21.22
21,16.78,16.51,14.86,14.62
22,19.55,18.14,16.29,17.39
23,22.10,19.62,17.01,18.98
24,23.59,20.05,17.31,20.49
25,22.96,17.85,15.64,18.85
26,24.28,17.43,15.27,18.05
27,25.11,18.17,15.86,20.27
28,19.45,16.65,14.03,18.13
29,18.34,17.38,14.16,16.57
30,17.04,15.88,13.82,15.31
31,19.02,18.50,15.76,17.87
32,23.20,18.23,17.59,18.18
33,21.73,17.29,16.53,17.09
34,19.86,16.25,13.97,15.40
35,21.26,16.63,14.03,17.10
