,KAD,KY0,NBQ,QAB,RBN
0,13.39,15.77,16.18,16.23,16.24
1,12.92,14.54,14.64,14.72,14.55
2,13.57,15.16,14.59,15.43,14.60
3,12.37,13.27,13.26,14.37,13.52
4,15.97,18.80,17.42,19.53,17.40
5,17.81,20.77,19.60,21.71,19.35
6,18.81,21.38,21.66,23.60,21.90
7,19.60,22.14,24.25,25.42,24.54
8,20.30,24.67,26.63,27.49,26.73
9,22.24,26.94,26.70,31.30,27.53
10,20.78,24.63,25.45,26.28,26.36
11,21.58,25.66,25.43,27.92,26.57
12,22.15,26.72,26.35,28.51,27.91
13,24.02,28.19,27.52,31.16,28.18
14,26.14,29.64,28.91,32.80,30.02
15,25.86,29.52,29.72,34.56,31.79
16,25.06,28.27,29.62,32.94,30.96
17,27.12,31.03,29.32,35.54,30.00
18,24.99,28.59,28.12,31.76,28.19
19,22.99,27.09,25.07,28.12,25.75
20,20.64,23.85,21.81,23.57,22.75
21,16.85,19.81,19.01,19.66,19.68
22,17.83,20.14,18.71,20.41,19.54
23,18.42,21.25,20.41,22.38,21.16
24,18.45,22.26,21.00,24.41,22.04
25,18.45,22.87,21.79,24.37,22.63
26,18.67,22.61,20.99,25.81,21.92
27,16.66,19.83,19.60,23.98,20.74
28,15.38,18.55,18.36,21.71,19.01
29,14.69,18.74,17.82,20.82,18.86
30,14.62,19.63,18.92,21.23,20.49
31,12.85,16.83,16.66,18.97,18.45
32,13.23,17.70,17.70,20.43,19.07
33,14.23,17.45,18.23,21.24,19.81
34,14.20,17.82,20.71,21.16,21.49
35,16.46,19.47,18.92,21.18,18.94
